Department,Age,Salary,Status
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,C,E,Senior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,B,A,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Sales,C,B,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,A,E,Junior
Systems,C,F,Junior
Systems,C,F,Senior
Systems,C,F,Senior
Systems,C,F,Senior
Systems,C,F,Senior
Systems,B,E,Junior
Systems,B,E,Junior
Systems,B,E,Junior
Systems,E,F,Senior
Systems,E,F,Senior
Systems,E,F,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,D,E,Senior
Marketing,C,D,Junior
Marketing,C,D,Junior
Marketing,C,D,Junior
Marketing,C,D,Junior
secretary,F,C,Senior
secretary,F,C,Senior
secretary,F,C,Senior
secretary,F,C,Senior
secretary,B,A,Junior
secretary,B,A,Junior
secretary,B,A,Junior
secretary,B,A,Junior
secretary,B,A,Junior
secretary,B,A,Junior
